"Series";"Time";"Value"
"liveness-http on minikube";"2020-05-19 20:56:10";null
"liveness-http on minikube";"2020-05-19 20:56:15";null
"liveness-http on minikube";"2020-05-19 20:56:20";null
"liveness-http on minikube";"2020-05-19 20:56:25";null
"liveness-http on minikube";"2020-05-19 20:56:30";null
"liveness-http on minikube";"2020-05-19 20:56:35";null
"liveness-http on minikube";"2020-05-19 20:56:40";null
"liveness-http on minikube";"2020-05-19 20:56:45";null
"liveness-http on minikube";"2020-05-19 20:56:50";null
"liveness-http on minikube";"2020-05-19 20:56:55";null
"liveness-http on minikube";"2020-05-19 20:57:00";null
"liveness-http on minikube";"2020-05-19 20:57:05";null
"liveness-http on minikube";"2020-05-19 20:57:10";null
"liveness-http on minikube";"2020-05-19 20:57:15";null
"liveness-http on minikube";"2020-05-19 20:57:20";null
"liveness-http on minikube";"2020-05-19 20:57:25";null
"liveness-http on minikube";"2020-05-19 20:57:30";null
"liveness-http on minikube";"2020-05-19 20:57:35";null
"liveness-http on minikube";"2020-05-19 20:57:40";null
"liveness-http on minikube";"2020-05-19 20:57:45";null
"liveness-http on minikube";"2020-05-19 20:57:50";null
"liveness-http on minikube";"2020-05-19 20:57:55";null
"liveness-http on minikube";"2020-05-19 20:58:00";null
"liveness-http on minikube";"2020-05-19 20:58:05";null
"liveness-http on minikube";"2020-05-19 20:58:10";null
"liveness-http on minikube";"2020-05-19 20:58:15";null
"liveness-http on minikube";"2020-05-19 20:58:20";null
"liveness-http on minikube";"2020-05-19 20:58:25";null
"liveness-http on minikube";"2020-05-19 20:58:30";null
"liveness-http on minikube";"2020-05-19 20:58:35";null
"liveness-http on minikube";"2020-05-19 20:58:40";null
"liveness-http on minikube";"2020-05-19 20:58:45";null
"liveness-http on minikube";"2020-05-19 20:58:50";null
"liveness-http on minikube";"2020-05-19 20:58:55";null
"liveness-http on minikube";"2020-05-19 20:59:00";null
"liveness-http on minikube";"2020-05-19 20:59:05";null
"liveness-http on minikube";"2020-05-19 20:59:10";null
"liveness-http on minikube";"2020-05-19 20:59:15";null
"liveness-http on minikube";"2020-05-19 20:59:20";null
"liveness-http on minikube";"2020-05-19 20:59:25";null
"liveness-http on minikube";"2020-05-19 20:59:30";null
"liveness-http on minikube";"2020-05-19 20:59:35";null
"liveness-http on minikube";"2020-05-19 20:59:40";null
"liveness-http on minikube";"2020-05-19 20:59:45";null
"liveness-http on minikube";"2020-05-19 20:59:50";null
"liveness-http on minikube";"2020-05-19 20:59:55";null
"liveness-http on minikube";"2020-05-19 21:00:00";null
"liveness-http on minikube";"2020-05-19 21:00:05";null
"liveness-http on minikube";"2020-05-19 21:00:10";null
"liveness-http on minikube";"2020-05-19 21:00:15";null
"liveness-http on minikube";"2020-05-19 21:00:20";null
"liveness-http on minikube";"2020-05-19 21:00:25";null
"liveness-http on minikube";"2020-05-19 21:00:30";null
"liveness-http on minikube";"2020-05-19 21:00:35";null
"liveness-http on minikube";"2020-05-19 21:00:40";null
"liveness-http on minikube";"2020-05-19 21:00:45";null
